,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,2019-07-11,22.1,20.0,25.4,11.4,,4.0,3.0,,1004.9,
1,2019-07-12,23.8,21.0,27.6,0.0,,,1.1,,1006.0,
2,2019-07-13,25.2,22.4,29.2,,,218.0,1.4,,1001.8,
3,2019-07-14,26.0,21.2,31.1,,,214.0,1.3,,1001.7,
4,2019-07-15,24.4,22.4,27.6,,,,0.9,,1006.5,
5,2019-07-16,25.0,22.0,29.2,12.2,,,2.0,,1010.2,
6,2019-07-17,26.2,22.5,29.4,1.8,,,1.1,,1010.9,
7,2019-07-18,27.7,23.6,32.6,0.8,,199.0,2.3,,1008.5,
8,2019-07-19,28.3,22.7,34.0,0.0,,162.0,5.2,,1006.2,
9,2019-07-20,29.0,26.1,31.4,1.0,,94.0,7.0,,1000.8,
10,2019-07-21,25.7,24.0,27.2,4.3,,251.0,0.9,,1000.7,
11,2019-07-22,27.5,25.0,31.6,2.0,,232.0,1.9,,1005.7,
12,2019-07-23,28.4,25.3,32.9,0.0,,,1.2,,1004.9,
13,2019-07-24,27.0,25.9,27.8,0.8,,,2.2,,1003.9,
14,2019-07-25,26.9,26.0,28.3,2.8,,195.0,0.2,,,
15,2019-07-26,25.8,24.2,27.0,42.9,,213.0,0.3,,1003.5,
16,2019-07-27,28.9,24.9,34.0,25.1,,,4.7,,,
17,2019-07-28,27.1,25.8,28.7,12.7,,194.0,2.5,,1007.6,
18,2019-07-29,28.2,25.9,30.9,13.5,,208.0,2.3,,1008.9,
19,2019-07-30,29.0,27.0,31.9,0.3,,205.0,5.1,,1006.7,
20,2019-07-31,26.7,24.0,28.1,39.9,,,1.8,,1008.6,
21,2019-08-01,27.0,24.0,30.0,49.5,,,1.6,,1011.6,
22,2019-08-02,29.2,24.5,34.3,0.8,,,2.0,,1011.4,
23,2019-08-03,29.3,25.8,35.0,0.0,,,2.0,,1010.6,
24,2019-08-04,28.7,25.1,34.3,3.0,,,0.9,,1010.5,
25,2019-08-05,30.7,25.7,35.9,8.6,,,1.5,,1009.3,
26,2019-08-06,31.9,28.5,36.5,0.0,,102.0,3.8,,1006.6,
27,2019-08-07,27.4,24.4,30.8,7.4,,,0.3,,1005.0,
28,2019-08-08,29.2,25.4,33.3,0.5,,,1.9,,,
29,2019-08-09,29.9,25.9,34.0,0.0,,238.0,1.6,,1007.1,
30,2019-08-10,31.2,26.9,35.6,,,,4.6,,1005.5,
31,2019-08-11,30.9,26.7,34.9,,,,8.7,,1001.9,
32,2019-08-12,26.8,25.0,28.4,43.7,,190.0,1.4,,1000.3,
33,2019-08-13,29.6,25.8,34.8,19.1,,204.0,2.6,,1002.1,
34,2019-08-14,30.1,25.5,34.8,6.4,,,3.4,,1000.0,
35,2019-08-15,26.5,24.5,29.1,0.0,,16.0,1.8,,993.7,
36,2019-08-16,26.3,23.0,30.0,16.3,,244.0,9.6,,,
37,2019-08-17,25.4,22.0,28.0,0.0,,219.0,11.0,,,
38,2019-08-18,25.4,21.0,30.0,,,,6.1,,,
39,2019-08-19,26.7,21.2,32.0,,,,3.9,,,
40,2019-08-20,28.5,23.2,32.0,,,,4.2,,,
41,2019-08-21,26.6,24.0,32.0,,,189.0,6.7,,,
42,2019-08-22,27.0,23.0,32.0,1.3,,297.0,6.4,,,
43,2019-08-23,25.6,23.0,31.0,0.0,,,7.4,,,
44,2019-08-24,23.8,21.0,27.0,,,,5.0,,,
45,2019-08-25,25.4,20.2,29.0,,,,6.4,,,
46,2019-08-26,26.7,21.5,31.0,,,,4.9,,,
47,2019-08-27,25.8,22.2,29.0,20.1,,,5.0,,,
48,2019-08-28,26.1,24.0,30.0,0.0,,,6.3,,,
49,2019-08-29,22.4,20.0,26.0,,,,8.3,,,
50,2019-08-30,22.3,19.0,27.0,36.8,,240.0,8.5,,,
51,2019-08-31,23.7,18.5,28.0,0.3,,,4.9,,,
52,2019-09-01,23.8,19.2,28.0,0.0,,,4.0,,,
53,2019-09-02,24.9,19.4,29.0,,,,2.7,,,
54,2019-09-03,24.1,22.0,26.0,,,,4.8,,,
55,2019-09-04,22.8,21.2,26.0,1.8,,,4.5,,,
56,2019-09-05,22.8,21.0,27.0,21.8,,,6.1,,,
57,2019-09-06,26.2,21.6,30.0,35.3,,,2.8,,,
58,2019-09-07,25.1,23.0,31.0,2.8,,,,,,
59,2019-09-08,24.6,23.0,28.0,2.3,,,5.6,,,
60,2019-09-09,25.1,23.0,27.0,0.0,,,3.4,,,
61,2019-09-10,23.4,23.0,28.0,32.3,,347.0,4.0,,,
62,2019-09-11,24.4,20.4,27.0,38.6,,47.0,7.0,,,
63,2019-09-12,20.2,18.0,23.0,0.0,,125.0,6.5,,,
64,2019-09-13,24.2,18.3,28.0,4.1,,,4.8,,,
65,2019-09-14,21.9,20.0,25.0,0.0,,198.0,6.5,,,
66,2019-09-15,24.3,19.5,30.0,0.3,,,4.0,,,
67,2019-09-16,23.9,20.0,30.0,0.0,,,6.1,,,
68,2019-09-17,23.8,18.0,28.0,,,,2.9,,,
69,2019-09-18,19.4,,,,,,,,,
70,2019-09-19,20.0,13.6,26.0,,,,4.5,,,
71,2019-09-20,20.2,15.8,24.0,,,,4.5,,,
72,2019-09-21,19.4,,,,,,,,,
73,2019-09-22,18.4,16.0,19.0,0.3,,18.0,11.1,,,
74,2019-09-23,19.3,16.0,24.0,0.3,,56.0,8.7,,,
75,2019-09-24,20.1,13.9,26.0,0.0,,211.0,5.6,,,
76,2019-09-25,21.6,14.8,27.0,,,,3.1,,,
77,2019-09-26,23.4,17.7,27.0,,,,2.8,,,
78,2019-09-27,22.9,19.6,27.0,,,,2.8,,,
79,2019-09-28,23.3,18.0,29.0,,,,1.8,,,
80,2019-09-29,22.2,16.0,28.0,,,,3.6,,,
81,2019-09-30,22.6,16.4,29.0,,,,2.8,,,
82,2019-10-01,24.0,17.6,28.0,,,,3.5,,,
83,2019-10-02,21.1,21.0,24.0,4.6,,,6.6,,,
84,2019-10-03,22.0,,,23.1,,,,,,
85,2019-10-04,22.8,18.0,28.0,0.0,,210.0,6.5,,,
86,2019-10-05,17.1,15.0,22.0,0.5,,279.0,9.4,,,
87,2019-10-06,18.6,13.2,22.0,0.0,,116.0,6.8,,,
88,2019-10-07,14.1,14.0,18.0,10.4,,215.0,6.3,,,
89,2019-10-08,13.7,12.0,20.0,15.0,,,8.8,,,
90,2019-10-09,14.2,7.7,20.0,0.0,,,4.1,,,
91,2019-10-10,15.9,10.7,20.0,,,,1.2,,,
92,2019-10-11,19.4,13.0,25.0,,,,6.4,,,
93,2019-10-12,17.0,14.0,23.0,,,38.0,16.0,,,
94,2019-10-13,17.4,12.1,23.0,,,,2.8,,,
95,2019-10-14,13.3,11.0,19.0,,,,7.2,,,
96,2019-10-15,14.7,8.8,20.0,,,,2.7,,,
97,2019-10-16,15.0,9.0,20.0,,,,2.4,,,
98,2019-10-17,15.6,11.2,21.0,,,,3.7,,,
99,2019-10-18,17.2,12.0,22.0,,,,3.9,,,
100,2019-10-19,16.8,12.1,22.0,,,,3.5,,,
101,2019-10-20,16.3,11.0,22.0,,,193.0,4.3,,,
102,2019-10-21,17.6,10.9,23.0,,,,1.6,,,
103,2019-10-22,18.2,13.3,23.0,,,15.0,1.8,,1017.6,
104,2019-10-23,17.2,14.3,20.0,,,82.0,1.8,,1018.8,
105,2019-10-24,17.9,17.0,23.0,,,63.0,1.8,,1019.3,
106,2019-10-25,15.3,14.0,21.0,,,33.0,1.8,,1017.5,
107,2019-10-26,9.2,8.0,13.0,,,341.0,1.8,,1018.6,
108,2019-10-27,11.6,4.7,16.0,,,354.0,1.8,,1019.4,
109,2019-10-28,13.7,7.4,17.0,,,178.0,1.8,,1016.0,
110,2019-10-29,11.3,11.0,17.0,1.8,,204.0,1.8,,1015.1,
111,2019-10-30,11.9,5.0,16.0,0.0,,206.0,1.8,,1021.2,
112,2019-10-31,16.0,8.4,19.0,,,249.0,1.8,,1020.6,
113,2019-11-01,13.7,13.0,19.0,,,335.0,1.8,,1021.3,
114,2019-11-02,14.1,8.3,18.0,,,185.0,1.8,,1020.4,
115,2019-11-03,14.4,9.4,20.0,,,38.0,1.8,,1019.5,
116,2019-11-04,13.6,11.0,19.0,,,9.0,1.8,,1021.8,
117,2019-11-05,12.0,10.0,17.0,,,307.0,1.8,,1019.5,
118,2019-11-06,11.0,6.3,16.0,,,289.0,1.8,,1017.0,
119,2019-11-07,9.1,8.0,12.0,,,347.0,1.8,,1017.3,
120,2019-11-08,7.2,1.1,,,,,,,,
121,2019-11-09,10.1,3.5,16.0,,,345.0,1.8,,1021.5,
122,2019-11-10,10.7,6.2,15.0,,,275.0,1.8,,1012.7,
123,2019-11-11,10.3,10.0,15.0,13.0,,300.0,1.8,,1009.8,
124,2019-11-12,9.4,4.8,15.0,0.0,,302.0,2.0,,1020.5,
125,2019-11-13,5.5,5.0,12.0,,,296.0,3.4,,1017.5,
126,2019-11-14,2.4,-2.5,5.0,7.6,,298.0,8.2,,1024.4,
127,2019-11-15,5.7,1.4,8.0,11.2,,262.0,2.9,,1018.4,
128,2019-11-16,7.4,3.8,13.0,7.6,,311.0,2.6,,1020.3,
129,2019-11-17,8.8,5.6,11.0,0.0,,125.0,4.3,,1018.4,
130,2019-11-18,2.0,2.0,13.0,35.8,,265.0,8.9,,1017.9,
131,2019-11-19,-0.2,-1.0,4.0,0.0,,314.0,6.7,,1025.2,
132,2019-11-20,0.9,-4.6,6.0,,,329.0,3.8,,1031.3,
133,2019-11-21,5.8,-2.3,9.0,,,41.0,2.3,,1032.4,
134,2019-11-22,10.5,3.0,16.0,,,144.0,3.3,,1027.7,
135,2019-11-23,12.2,7.7,17.0,,,,2.3,,,
136,2019-11-24,7.6,6.0,15.0,,,198.0,3.7,,1020.0,
137,2019-11-25,2.3,-1.2,6.0,3.8,,325.0,5.8,,1029.5,
138,2019-11-26,6.8,1.2,12.0,0.0,,328.0,3.5,,1029.4,
139,2019-11-27,2.4,3.0,6.0,,,329.0,5.3,,1028.3,
140,2019-11-28,4.0,-0.9,9.9,,,44.0,0.6,,1029.5,
141,2019-11-29,2.1,-2.8,6.7,,,325.0,1.5,,1031.5,
142,2019-11-30,3.8,-2.0,9.4,,,197.0,0.5,,1029.0,
143,2019-12-01,5.6,3.8,6.8,0.0,,254.0,1.2,,1022.4,
144,2019-12-02,1.6,-1.3,4.1,3.3,,319.0,3.9,,1022.1,
145,2019-12-03,0.6,-5.3,4.8,0.0,,307.0,0.2,,1025.1,
146,2019-12-04,2.9,-3.4,7.0,0.5,,316.0,1.4,,1028.5,
147,2019-12-05,-2.5,-7.3,0.9,0.0,,313.0,5.0,,1035.8,
148,2019-12-06,-5.4,-10.6,-1.3,,,318.0,2.0,,1036.5,
149,2019-12-07,-2.0,-6.1,1.7,,,341.0,0.9,,1029.9,
150,2019-12-08,-1.6,-6.1,4.6,0.0,,39.0,0.8,,1028.9,
151,2019-12-09,3.2,-2.5,8.6,0.0,,219.0,2.1,,1023.5,
152,2019-12-10,8.7,6.0,11.0,1.8,,206.0,2.1,,1019.2,
153,2019-12-11,7.7,1.7,11.0,0.3,,274.0,1.9,,1017.0,
154,2019-12-12,0.1,-3.3,3.4,0.0,,323.0,3.5,,1028.4,
155,2019-12-13,1.2,-4.4,6.3,,,148.0,1.2,,1027.3,
156,2019-12-14,2.1,-0.1,6.0,1.0,,305.0,5.4,,1027.2,
